Zip Code,Name,Accounts
60657,"Chicago, IL","41,452"
60618,"Chicago, IL","40,385"
60614,"Chicago, IL","39,082"
60647,"Chicago, IL","38,047"
60640,"Chicago, IL","33,851"
60625,"Chicago, IL","32,782"
60629,"Chicago, IL","31,858"
60617,"Chicago, IL","30,893"
60622,"Chicago, IL","30,311"
60613,"Chicago, IL","29,718"
60619,"Chicago, IL","29,624"
60608,"Chicago, IL","28,581"
60634,"Chicago, IL","28,492"
60620,"Chicago, IL","27,240"
60641,"Chicago, IL","26,943"
60623,"Chicago, IL","26,904"
60639,"Chicago, IL","26,281"
60085,"Waukegan, IL","26,186"
60628,"Chicago, IL","26,093"
60016,"Des Plaines, IL","25,954"
60611,"Chicago, IL","25,905"
60616,"Chicago, IL","25,656"
60632,"Chicago, IL","25,638"
60453,"Oak Lawn, IL","25,186"
60610,"Chicago, IL","24,332"
60056,"Mount Prospect, IL","24,040"
60626,"Chicago, IL","23,610"
60148,"Lombard, IL","23,546"
60804,"Cicero, IL","23,473"
60402,"Berwyn, IL","23,329"
60630,"Chicago, IL","22,965"
60004,"Arlington Heights, IL","22,638"
60649,"Chicago, IL","22,477"
60638,"Chicago, IL","22,178"
60435,"Joliet, IL","22,010"
60609,"Chicago, IL","21,790"
60411,"Chicago Heights, IL","21,643"
60660,"Chicago, IL","21,460"
60615,"Chicago, IL","20,934"
60637,"Chicago, IL","20,779"
60651,"Chicago, IL","20,473"
60014,"Crystal Lake, IL","19,826"
60067,"Palatine, IL","19,800"
60073,"Round Lake, IL","19,779"
60643,"Chicago, IL","19,771"
60506,"Aurora, IL","19,599"
60126,"Elmhurst, IL","19,258"
60123,"Elgin, IL","19,231"
60010,"Barrington, IL","19,168"
60440,"Bolingbrook, IL","18,511"
60115,"Dekalb, IL","18,322"
60477,"Tinley Park, IL","18,225"
60089,"Buffalo Grove, IL","18,095"
60193,"Schaumburg, IL","18,040"
60462,"Orland Park, IL","17,841"
60645,"Chicago, IL","17,839"
60120,"Elgin, IL","17,809"
60062,"Northbrook, IL","17,734"
60505,"Aurora, IL","17,731"
60201,"Evanston, IL","17,703"
60025,"Glenview, IL","17,624"
60707,"Elmwood Park, IL","17,566"
60007,"Elk Grove Village, IL","17,340"
60090,"Wheeling, IL","16,997"
60644,"Chicago, IL","16,569"
60031,"Gurnee, IL","16,399"
60302,"Oak Park, IL","16,246"
60409,"Calumet City, IL","16,166"
60188,"Carol Stream, IL","16,146"
60068,"Park Ridge, IL","16,009"
60137,"Glen Ellyn, IL","16,001"
60030,"Grayslake, IL","15,871"
60202,"Evanston, IL","15,784"
60047,"Lake Zurich, IL","15,769"
60101,"Addison, IL","15,469"
60504,"Aurora, IL","15,439"
60605,"Chicago, IL","15,408"
60659,"Chicago, IL","15,335"
60901,"Kankakee, IL","15,317"
60612,"Chicago, IL","15,208"
61032,"Freeport, IL","15,175"
60103,"Bartlett, IL","15,157"
60607,"Chicago, IL","15,073"
60074,"Palatine, IL","14,923"
60653,"Chicago, IL","14,803"
60517,"Woodridge, IL","14,627"
60005,"Arlington Heights, IL","14,626"
60525,"La Grange, IL","14,548"
61107,"Rockford, IL","14,332"
60050,"McHenry, IL","14,312"
60515,"Downers Grove, IL","14,265"
60060,"Mundelein, IL","14,242"
60107,"Streamwood, IL","14,195"
60714,"Niles, IL","13,902"
60652,"Chicago, IL","13,809"
60441,"Lockport, IL","13,800"
60035,"Highland Park, IL","13,793"
60631,"Chicago, IL","13,767"
60098,"Woodstock, IL","13,745"
60076,"Skokie, IL","13,730"
61108,"Rockford, IL","13,691"
60654,"Chicago, IL","13,656"
60532,"Lisle, IL","13,605"
60543,"Oswego, IL","13,586"
60446,"Romeoville, IL","13,522"
61008,"Belvidere, IL","13,491"
60046,"Lake Villa, IL","13,372"
60181,"Villa Park, IL","13,363"
60624,"Chicago, IL","13,362"
60656,"Chicago, IL","13,015"
61109,"Rockford, IL","12,998"
60438,"Lansing, IL","12,988"
60077,"Skokie, IL","12,917"
60102,"Algonquin, IL","12,833"
60451,"New Lenox, IL","12,723"
60048,"Libertyville, IL","12,714"
60169,"Hoffman Estates, IL","12,686"
60139,"Glendale Heights, IL","12,524"
60621,"Chicago, IL","12,510"
60110,"Carpentersville, IL","12,375"
60187,"Wheaton, IL","12,298"
60559,"Westmont, IL","12,228"
60516,"Downers Grove, IL","12,143"
60423,"Frankfort, IL","12,133"
60185,"West Chicago, IL","12,117"
60099,"Zion, IL","12,083"
60636,"Chicago, IL","12,075"
60133,"Hanover Park, IL","12,068"
60018,"Des Plaines, IL","12,029"
60189,"Wheaton, IL","11,955"
60445,"Midlothian, IL","11,876"
60646,"Chicago, IL","11,810"
60527,"Willowbrook, IL","11,782"
60142,"Huntley, IL","11,738"
61111,"Loves Park, IL","11,614"
60452,"Oak Forest, IL","11,477"
60061,"Vernon Hills, IL","11,352"
60655,"Chicago, IL","11,271"
60914,"Bourbonnais, IL","11,264"
61103,"Rockford, IL","11,261"
60002,"Antioch, IL","11,160"
60015,"Deerfield, IL","11,093"
60544,"Plainfield, IL","11,047"
60091,"Wilmette, IL","11,000"
61021,"Dixon, IL","10,912"
60172,"Roselle, IL","10,639"
60087,"Waukegan, IL","10,636"
60642,"Chicago, IL","10,565"
60426,"Harvey, IL","10,462"
60803,"Alsip, IL","10,434"
60156,"Lake in the Hills, IL","10,385"
60561,"Darien, IL","10,350"
60108,"Bloomingdale, IL","10,305"
60601,"Chicago, IL","10,302"
60706,"Harwood Heights, IL","10,268"
61081,"Sterling, IL","10,215"
60406,"Blue Island, IL","10,175"
60459,"Burbank, IL","10,175"
60008,"Rolling Meadows, IL","10,050"
60051,"McHenry, IL","10,036"
60013,"Cary, IL","9,932"
61115,"Machesney Park, IL","9,895"
60466,"Park Forest, IL","9,813"
60053,"Morton Grove, IL","9,802"
60178,"Sycamore, IL","9,760"
60467,"Orland Park, IL","9,742"
60448,"Mokena, IL","9,628"
60538,"Montgomery, IL","9,539"
60450,"Morris, IL","9,537"
61101,"Rockford, IL","9,210"
60827,"Riverdale, IL","9,179"
60160,"Melrose Park, IL","9,132"
60106,"Bensenville, IL","9,108"
60487,"Tinley Park, IL","9,105"
60430,"Homewood, IL","9,078"
60560,"Yorkville, IL","9,044"
60045,"Lake Forest, IL","9,002"
60439,"Lemont, IL","8,941"
61104,"Rockford, IL","8,894"
61364,"Streator, IL","8,829"
60173,"Schaumburg, IL","8,782"
60473,"South Holland, IL","8,732"
60419,"Dolton, IL","8,679"
60431,"Joliet, IL","8,631"
60130,"Forest Park, IL","8,585"
60443,"Matteson, IL","8,487"
60513,"Brookfield, IL","8,438"
60465,"Palos Hills, IL","8,395"
60177,"South Elgin, IL","8,342"
60502,"Aurora, IL","8,306"
60805,"Evergreen Park, IL","8,264"
60194,"Schaumburg, IL","8,138"
60153,"Maywood, IL","8,082"
60154,"Westchester, IL","7,919"
